rdp,icmp,tpkt,mdns,arp,output,length,noRdpTpkt,noRdpTpktIcmp,_id
0.192864030858244,6.364513018322084,54.0,6.171648987463838,0.3857280617164899,0.0,1037.0,0.0,0.0,0.0
0.0,25.327510917030565,0.0,34.93449781659388,0.8733624454148471,1.0,229.0,1.0,0.0,1.0
0.0,0.0,0.0,43.24324324324324,16.89189189189189,2.0,148.0,1.0,1.0,2.0
0.0,0.0,0.0,20.0,0.0,3.0,10.0,1.0,1.0,3.0
0.203873598369011,6.116207951070336,42.4,8.154943934760448,0.20387359836901123,0.0,981.0,0.0,0.0,4.0
0.0,37.142857142857146,0.0,17.142857142857142,2.857142857142857,1.0,140.0,1.0,0.0,5.0
0.0,0.0,0.0,38.857142857142854,13.142857142857142,2.0,175.0,1.0,1.0,6.0
0.0,0.0,0.0,53.57142857142857,0.0,3.0,112.0,1.0,1.0,7.0
0.195694716242661,6.2819203947564,48.7,7.091829340132417,0.254290922189237,0.0,1022.0,0.0,0.0,8.0
0.0,30.154487900192356,0.0,26.91828272013507536,0.980012374721057,1.0,188.0,1.0,0.0,9.0
0.0,0.0,0.0,41.33333333333333,16.811247909026571,2.0,155.0,1.0,1.0,10.0
0.0,0.0,0.0,44.0,0.0,3.0,32.0,1.0,1.0,11.0
0.201207243460764,6.331874008453771,51.2,7.366501827065821,0.27910475813457,0.0,994.0,0.0,0.0,12.0
0.0,33.967468912380923,0.0,20.718209752710932,2.02915373920712,1.0,165.0,1.0,0.0,13.0
0.0,0.0,0.0,40.710294728910236,14.09037183046419,2.0,201.0,1.0,1.0,14.0
0.0,0.0,0.0,33.901725482017254,0.0,3.0,62.0,1.0,1.0,15.0
